date,station_type,temp,is_holiday,weather,weekday,demand
2024/9/1 7:02,0,25.7,0,0,7,361
2024/9/1 7:44,3,25.6,0,0,7,287
2024/9/1 8:24,3,26.4,0,0,7,197
2024/9/1 9:06,2,26.6,0,0,7,263
2024/9/1 9:46,1,26.3,0,0,7,158
2024/9/1 10:31,2,26.6,0,0,7,202
2024/9/1 11:12,3,27.6,0,0,7,255
2024/9/1 11:53,0,28,0,0,7,293
2024/9/1 12:34,1,28.8,0,0,7,279
2024/9/1 13:15,0,28.2,0,0,7,226
2024/9/1 13:56,0,28.3,0,0,7,239
2024/9/1 14:37,2,29.3,0,0,7,280
2024/9/1 15:19,1,29.5,0,0,7,221
2024/9/1 16:00,0,28.3,0,0,7,184
2024/9/1 16:40,3,29.5,0,0,7,167
2024/9/1 17:20,2,28.7,0,0,7,263
2024/9/1 18:01,2,28.2,0,0,7,184
2024/9/1 18:42,0,28.3,0,0,7,250
2024/9/1 19:22,1,27.2,0,0,7,168
2024/9/1 20:03,2,27.1,0,0,7,181
2024/9/1 20:43,2,27.6,0,0,7,283
2024/9/1 21:23,2,26.8,0,0,7,197
2024/9/1 22:04,1,26.4,0,0,7,232
2024/9/1 22:45,0,26,0,0,7,207
2024/9/1 23:26,2,25.8,0,0,7,270
2024/9/2 0:07,2,25,0,0,1,212
2024/9/2 0:47,1,24.9,0,0,1,198
2024/9/2 1:29,0,24.5,0,0,1,291
2024/9/2 2:10,1,23.9,0,0,1,221
2024/9/2 2:51,2,23.5,0,0,1,293
2024/9/2 3:32,1,24.1,0,0,1,191
2024/9/2 4:13,0,24.4,0,0,1,270
2024/9/2 4:55,2,23.5,0,0,1,239
2024/9/2 5:36,0,24.7,0,0,1,296
2024/9/2 6:16,2,24.3,0,0,1,246
2024/9/2 6:56,2,24.4,0,0,1,299
2024/9/2 7:37,0,24.9,0,0,1,377
2024/9/2 8:17,1,25.4,0,0,1,229
2024/9/2 8:59,2,25.4,0,0,1,247
2024/9/2 9:40,1,26.5,0,0,1,169
2024/9/2 10:21,0,27.4,0,0,1,249
2024/9/2 11:02,0,27.9,0,0,1,304
2024/9/2 11:43,0,27.2,0,0,1,353
2024/9/2 12:23,0,28.4,0,0,1,343
2024/9/2 13:04,0,28.9,0,0,1,299
2024/9/2 13:46,2,28,0,0,1,248
2024/9/2 14:26,2,29,0,0,1,320
2024/9/2 15:06,2,28.6,0,0,1,365
2024/9/2 15:47,0,29.1,0,0,1,338
2024/9/2 16:27,1,28.8,0,0,1,323
2024/9/2 17:08,2,28.1,0,0,1,292
2024/9/2 17:49,2,29,0,0,1,243
2024/9/2 18:31,2,28.4,0,0,1,160
2024/9/2 19:11,1,28.3,0,0,1,299
2024/9/2 19:52,0,27.7,0,0,1,268
2024/9/2 20:33,3,27.5,0,0,1,336
2024/9/2 21:14,1,26.6,0,0,1,294
2024/9/2 21:54,0,26.7,0,0,1,321
2024/9/2 22:35,1,26.2,0,0,1,338
2024/9/2 23:15,1,25.4,0,0,1,189
2024/9/2 23:56,2,25.5,0,0,1,256
2024/9/3 0:37,1,22.8,1,1,2,128
2024/9/3 1:17,3,22.6,1,1,2,189
2024/9/3 1:58,2,21.9,1,1,2,137
2024/9/3 2:38,2,21.7,1,1,2,158
2024/9/3 3:18,0,22.5,1,1,2,217
2024/9/3 4:00,0,21.7,1,1,2,189
2024/9/3 4:41,1,21.1,1,1,2,220
2024/9/3 5:21,3,22.5,1,1,2,184
2024/9/3 6:02,1,23.7,1,1,2,163
2024/9/3 6:43,1,24.3,1,1,2,208
2024/9/3 7:25,0,23.3,1,1,2,258
2024/9/3 8:06,0,23.6,1,1,2,221
2024/9/3 8:46,1,24.2,1,1,2,187
2024/9/3 9:27,1,24.4,1,1,2,151
2024/9/3 10:08,2,25.9,1,1,2,150
2024/9/3 10:49,2,25,1,1,2,210
2024/9/3 11:30,2,26.2,1,1,2,159
2024/9/3 12:10,1,25.9,1,1,2,202
2024/9/3 12:52,1,26.9,1,1,2,144
2024/9/3 13:32,1,27.6,1,1,2,236
2024/9/3 14:13,2,28.5,1,1,2,176
2024/9/3 14:54,1,26.9,1,1,2,184
2024/9/3 15:36,0,28.4,1,1,2,153
2024/9/3 16:16,3,27.8,1,1,2,215
2024/9/3 16:56,2,27.6,1,1,2,191
2024/9/3 17:37,1,27.8,1,1,2,161
2024/9/3 18:18,1,27,1,1,2,191
2024/9/3 18:58,0,26.4,1,1,2,141
2024/9/3 19:39,1,26.4,1,1,2,182
2024/9/3 20:20,0,26.4,1,1,2,159
2024/9/3 21:01,1,26,1,1,2,197
2024/9/3 21:42,2,23.7,1,1,2,239
2024/9/3 22:24,1,23.3,1,1,2,148
2024/9/3 23:04,0,23.4,1,1,2,237
2024/9/3 23:45,2,23.4,1,1,2,164
2024/9/4 0:27,3,25.1,0,0,3,205
2024/9/4 1:08,3,23.8,0,0,3,265
2024/9/4 1:48,0,23.9,0,0,3,190
2024/9/4 2:29,0,24.2,0,0,3,318
2024/9/4 3:09,1,23.6,0,0,3,240
2024/9/4 3:50,0,23.5,0,0,3,223
2024/9/4 4:31,2,24.2,0,0,3,249
2024/9/4 5:11,0,24.5,0,0,3,252
2024/9/4 5:53,2,24.6,0,0,3,217
2024/9/4 6:34,2,25.1,0,0,3,317
2024/9/4 7:14,1,24.7,0,0,3,195
2024/9/4 7:55,0,24.8,0,0,3,391
2024/9/4 8:35,2,25.2,0,0,3,321
2024/9/4 9:16,1,25.9,0,0,3,287
2024/9/4 9:56,1,26.9,0,0,3,290
2024/9/4 10:37,2,27.5,0,0,3,227
2024/9/4 11:17,2,27.9,0,0,3,182
2024/9/4 11:58,3,28,0,0,3,338
2024/9/4 12:40,2,27.8,0,0,3,226
2024/9/4 13:21,0,28,0,0,3,301
2024/9/4 14:01,0,29.3,0,0,3,245
2024/9/4 14:42,1,28.7,0,0,3,201
2024/9/4 15:23,1,28.5,0,0,3,387
2024/9/4 16:05,2,28.5,0,0,3,206
2024/9/4 16:45,0,28.3,0,0,3,215
2024/9/4 17:25,2,28.3,0,0,3,245
2024/9/4 18:05,0,27.6,0,0,3,398
2024/9/4 18:46,1,28.2,0,0,3,211
2024/9/4 19:27,1,28.2,0,0,3,323
2024/9/4 20:08,2,26.9,0,0,3,335
2024/9/4 20:48,1,26.6,0,0,3,248
2024/9/4 21:29,2,26.9,0,0,3,307
2024/9/4 22:10,1,25.1,0,0,3,336
2024/9/4 22:51,3,26,0,0,3,316
2024/9/4 23:32,2,25.6,0,0,3,182
2024/9/5 0:13,2,24,0,0,4,262
2024/9/5 0:54,2,24.1,0,0,4,294
2024/9/5 1:35,0,24.4,0,0,4,259
2024/9/5 2:15,1,23.9,0,0,4,333
2024/9/5 2:56,1,23.5,0,0,4,181
2024/9/5 3:37,0,24.2,0,0,4,306
2024/9/5 4:19,1,24.4,0,0,4,245
2024/9/5 5:00,1,24.8,0,0,4,258
2024/9/5 5:41,1,23.8,0,0,4,275
2024/9/5 6:22,2,25,0,0,4,290
2024/9/5 7:03,0,25.2,0,0,4,356
2024/9/5 7:44,0,25.5,0,0,4,274
2024/9/5 8:25,2,26.3,0,0,4,260
2024/9/5 9:06,3,26.5,0,0,4,326
2024/9/5 9:47,0,26.3,0,0,4,298
2024/9/5 10:28,2,27.2,0,0,4,197
2024/9/5 11:09,1,27.5,0,0,4,209
2024/9/5 11:49,1,27.3,0,0,4,189
2024/9/5 12:30,0,27.6,0,0,4,270
2024/9/5 13:10,1,28.9,0,0,4,218
